Number,Product Name,Category,Unit,Purchase Price,Selling Price,Quantity,Minimum Stock,Total,Status,Notes
17,زيت صغير,مواد غذائية,لتر,1800.0,0.0,10.0,5.0,18000.0,متوفر,مستورد من الجرد الافتتاحي
18,معجون,مواد غذائية,كيس,3333.33,5000.0,6.0,5.0,20000.0,متوفر,مستورد من الجرد الافتتاحي
19,أرز كبير,مواد غذائية,كيس,32000.0,0.0,1.0,5.0,32000.0,متوفر,مستورد من الجرد الافتتاحي
20,أرز مصري,مواد غذائية,كيس,3000.0,5000.0,24.0,5.0,72000.0,متوفر,مستورد من الجرد الافتتاحي
21,سمنة مصري,مواد غذائية,علبة,2000.0,3000.0,3.0,5.0,6000.0,متوفر,مستورد من الجرد الافتتاحي
22,قهوة صغيرة,مواد غذائية,كيس,666.67,1000.0,36.0,5.0,24000.0,متوفر,مستورد من الجرد الافتتاحي
23,زيت كبير,مواد غذائية,لتر,24000.0,0.0,1.0,5.0,24000.0,متوفر,مستورد من الجرد الافتتاحي
24,حليب صغير,مواد غذائية,لتر,1166.67,2000.0,24.0,5.0,28000.0,متوفر,مستورد من الجرد الافتتاحي
25,شاي كبير,مواد غذائية,كيس,722.22,0.0,18.0,5.0,13000.0,متوفر,مستورد من الجرد الافتتاحي
26,قهوة كبيرة,مواد غذائية,كيس,6454.55,7000.0,11.0,5.0,71000.0,متوفر,مستورد من الجرد الافتتاحي
27,سكر ناعم,مواد غذائية,كيس,84.21,0.0,38.0,5.0,3200.0,متوفر,مستورد من الجرد الافتتاحي
28,معجون صغير,مواد غذائية,كيس,750.0,1000.0,24.0,5.0,18000.0,متوفر,مستورد من الجرد الافتتاحي
29,حليب كبير,مواد غذائية,لتر,750.0,1500.0,24.0,5.0,18000.0,متوفر,مستورد من الجرد الافتتاحي
30,زيت ناعم,مواد غذائية,لتر,1837.21,2500.0,43.0,5.0,79000.0,متوفر,مستورد من الجرد الافتتاحي
31,أرز ناعم,مواد غذائية,كيس,3166.67,0.0,12.0,5.0,38000.0,متوفر,مستورد من الجرد الافتتاحي
32,سمنة ناعم,مواد غذائية,علبة,813.95,1500.0,43.0,5.0,35000.0,متوفر,مستورد من الجرد الافتتاحي
33,معجون كبير,مواد غذائية,كيس,44666.67,0.0,1.5,5.0,67000.0,متوفر,مستورد من الجرد الافتتاحي
34,قهوة ناعم,مواد غذائية,كيس,1000.0,1500.0,32.0,5.0,32000.0,متوفر,مستورد من الجرد الافتتاحي
35,بيض ناعم,مواد غذائية,كرتونة,1745.1,2000.0,51.0,5.0,89000.0,متوفر,مستورد من الجرد الافتتاحي
36,شاي ناعم,مواد غذائية,كيس,33000.0,0.0,1.0,5.0,33000.0,متوفر,مستورد من الجرد الافتتاحي
37,زيت ناعم كبير,مواد غذائية,لتر,112000.0,0.0,0.25,5.0,28000.0,منخفض,مستورد من الجرد الافتتاحي
38,حليب ناعم,مواد غذائية,لتر,5500.0,6000.0,10.0,5.0,55000.0,متوفر,مستورد من الجرد الافتتاحي
39,سكر ناعم كبير,مواد غذائية,كيس,7214.29,8000.0,14.0,5.0,101000.0,متوفر,مستورد من الجرد الافتتاحي
40,معجون ناعم,مواد غذائية,كيس,2777.78,3500.0,18.0,5.0,50000.0,متوفر,مستورد من الجرد الافتتاحي
41,أرز ناعم صغير,مواد غذائية,كيس,8000.0,8000.0,1.5,5.0,12000.0,متوفر,مستورد من الجرد الافتتاحي
42,شاي ناعم صغير,مواد غذائية,كيس,1461.54,2000.0,13.0,5.0,19000.0,متوفر,مستورد من الجرد الافتتاحي
43,زيت ناعم صغير,مواد غذائية,لتر,9000.0,12000.0,2.0,5.0,18000.0,متوفر,مستورد من الجرد الافتتاحي
44,بيض ناعم صغير,مواد غذائية,كرتونة,17000.0,0.0,1.0,5.0,17000.0,متوفر,مستورد من الجرد الافتتاحي
45,حليب ناعم صغير,مواد غذائية,لتر,1083.33,1200.0,24.0,5.0,26000.0,متوفر,مستورد من الجرد الافتتاحي
46,سمنة ناعم صغير,مواد غذائية,علبة,11000.0,0.0,1.0,5.0,11000.0,متوفر,مستورد من الجرد الافتتاحي
